code_insee,revenu_median,taux_chomage,age_median
76351,22480.0,19.2,40.0
14118,23650.0,15.2,35.0
61001,21150.0,19.0,42.5
01001,,6.5,44.3
01002,28140.0,1.5,42.7
01004,24210.0,13.4,38.1
01005,28120.0,6.3,41.4
01006,,9.8,54.2
01007,28030.0,7.6,39.2
01008,28240.0,4.7,43.5
01009,28750.0,2.3,47.3
01010,27670.0,7.4,40.4
01011,28020.0,6.0,42.7
01012,27230.0,7.6,48.3
01013,25070.0,9.0,51.0
01014,25250.0,10.7,44.1
01015,26670.0,2.3,46.9
01016,26320.0,7.4,43.7
01017,23400.0,10.2,46.7
01019,,30.8,57.9
01021,29430.0,5.1,42.0
01022,25330.0,11.1,50.2
01023,,13.5,43.2
01024,27540.0,7.0,41.8
01025,27890.0,7.1,41.8
01026,25750.0,8.7,42.4
01027,28680.0,8.3,30.8
01028,27990.0,4.0,40.7
01029,23900.0,8.0,43.3
01030,26710.0,8.1,40.9
01031,23370.0,14.1,40.8
01032,26630.0,8.1,35.2
01033,27090.0,14.7,40.2
01034,24270.0,11.9,45.9
01035,28760.0,4.5,48.5
01036,27580.0,6.6,51.9
01037,25760.0,8.7,44.7
01038,27750.0,4.8,44.0
01040,26710.0,5.6,41.7
01041,28150.0,8.7,43.1
01042,29040.0,4.6,45.5
01043,32010.0,6.7,43.3
01044,32290.0,11.7,39.6
01045,31400.0,4.4,40.8
01046,26980.0,3.8,40.8
01047,29350.0,7.3,35.2
01049,29890.0,8.3,40.0
01050,26100.0,5.3,34.0
01051,,11.4,48.8
01052,32530.0,2.8,51.0
01053,22480.0,15.8,41.5
01054,30820.0,3.7,39.0
01056,25220.0,5.9,45.0
01057,27580.0,4.4,41.4
01058,27270.0,8.6,43.3
01060,29580.0,5.7,46.5
01061,28060.0,8.4,47.3
01062,32350.0,6.7,40.4
01063,27540.0,8.2,46.5
01064,26370.0,7.3,39.8
01065,29690.0,5.7,44.3
01066,,14.3,44.6
01067,29330.0,6.0,40.1
01068,24700.0,10.9,45.5
01069,29410.0,6.2,43.1
01071,47240.0,7.0,37.0
01072,28330.0,5.9,44.3
01073,27470.0,5.8,50.7
01074,26960.0,7.0,40.8
01075,27390.0,6.5,39.4
01076,24170.0,12.0,57.4
01077,27400.0,8.5,46.1
01078,49650.0,6.5,41.1
01079,25300.0,7.0,51.8
01080,27470.0,7.0,45.4
01081,29100.0,9.1,45.1
01082,31350.0,3.6,38.5
01083,28540.0,5.4,38.9
01084,27380.0,5.8,37.2
01085,29090.0,2.4,41.0
01087,29460.0,7.6,45.7
01088,31220.0,4.8,43.2
01089,27990.0,6.7,37.1
01090,26650.0,7.6,43.7
01092,28980.0,5.9,40.9
01093,26880.0,8.8,47.4
01094,27260.0,7.1,47.2
01095,27430.0,7.8,44.9
01096,26780.0,5.4,41.1
01098,26860.0,8.0,44.5
01099,29610.0,6.6,41.5
01100,24420.0,18.0,55.3
01101,31350.0,,44.2
01102,26340.0,4.9,42.1
01103,51490.0,6.9,34.4
01104,29370.0,5.2,43.0
01105,32170.0,5.5,38.1
01106,27090.0,10.3,43.3
01107,26050.0,6.1,45.3
01108,26340.0,6.8,47.1
01109,39130.0,9.7,35.4
01110,23370.0,12.5,45.8
01111,26750.0,3.2,44.2
01112,29090.0,5.6,35.3
01113,26430.0,8.6,39.9
01114,34310.0,10.6,44.0
01115,27070.0,4.7,38.1
01116,26500.0,11.1,47.1
01117,22910.0,10.0,38.6
01118,29700.0,4.6,44.9
01123,27740.0,6.0,44.2
01124,26040.0,9.5,42.8
01125,27790.0,11.4,43.1
01127,26340.0,9.6,47.9
01128,24620.0,13.8,42.5
01129,30160.0,6.7,39.3
01130,27510.0,5.3,39.7
01133,27830.0,9.3,48.7
01134,27830.0,6.6,44.2
01135,47460.0,6.6,38.5
01136,28530.0,8.3,39.9
01138,24900.0,12.6,42.8
01139,22990.0,7.6,48.7
01140,27410.0,6.4,42.7
01141,28450.0,9.3,48.0
01142,28440.0,8.0,39.6
01143,52680.0,7.6,40.9
01145,27350.0,5.6,42.4
01146,27470.0,5.9,41.2
01147,23700.0,7.6,40.7
01148,25940.0,7.2,42.3
01149,31380.0,9.5,43.6
01150,28260.0,7.3,40.6
01151,28080.0,5.7,46.1
01152,31320.0,5.9,44.4
01153,54700.0,7.5,37.0
01155,29230.0,4.4,50.0
01156,30280.0,3.5,38.4
01157,30720.0,4.9,42.9
01158,41680.0,7.9,38.5
01159,27670.0,7.4,43.9
01160,29500.0,12.6,36.6
01162,,6.2,44.3
01163,27230.0,5.9,45.8
01165,29440.0,4.3,38.8
01166,29930.0,5.1,41.2
01167,27730.0,4.5,45.9
01169,28820.0,4.9,40.7
01170,28050.0,8.2,41.7
01171,28660.0,9.0,47.2
01173,41100.0,11.5,35.0
01174,29420.0,5.6,41.6
01175,26530.0,9.4,45.6
01177,26840.0,7.5,50.1
01179,27370.0,6.7,47.4
01180,60900.0,7.8,42.6
01181,30280.0,8.1,46.8
01183,30150.0,4.9,42.9
01184,27730.0,6.4,44.6
01185,25540.0,7.8,50.4
01187,25990.0,8.6,53.6
01188,27840.0,5.9,38.7
01189,31950.0,8.2,39.2
01190,,7.3,53.8
01192,26530.0,7.3,41.2
01193,29140.0,11.7,52.2
01194,27200.0,9.6,44.5
01195,28570.0,5.3,45.2
01196,26090.0,8.4,38.7
01197,28260.0,5.5,45.5
01198,27730.0,5.7,44.0
01199,26110.0,10.3,41.3
01200,24290.0,7.0,41.9
01202,26680.0,9.5,43.4
01203,28140.0,6.5,43.8
01204,31000.0,7.6,41.0
01206,28940.0,2.3,46.2
01207,29730.0,5.2,40.1
01208,27480.0,6.9,51.9
01209,35500.0,13.6,35.2
01210,27890.0,2.8,44.4
01211,27740.0,5.4,42.8
01212,25080.0,9.1,41.1
01213,28320.0,7.8,39.2
01214,28070.0,6.1,46.2
01215,28520.0,13.2,48.8
01216,26970.0,6.3,51.6
01219,23830.0,9.9,44.8
01224,26680.0,7.0,36.6
01225,31350.0,7.1,47.8
01227,27740.0,6.6,46.6
01228,30120.0,5.7,41.7
01229,27830.0,4.9,43.5
01230,23450.0,11.4,47.6
01231,28940.0,4.3,46.4
01232,27500.0,5.1,47.0
01233,28530.0,13.0,48.0
01235,25730.0,8.3,36.5
01236,26720.0,7.7,41.5
01237,26990.0,9.4,42.3
01238,31870.0,6.6,42.7
01239,28310.0,5.6,48.5
01240,28320.0,6.5,47.3
01241,28790.0,9.2,46.0
01243,30800.0,8.7,44.7
01244,27630.0,9.8,38.8
01245,27650.0,4.6,44.9
01246,26800.0,8.8,42.7
01247,35700.0,3.0,43.9
01248,33070.0,6.8,43.1
01249,29650.0,9.2,38.7
01250,31370.0,5.4,39.0
01252,28950.0,7.7,41.2
01254,30990.0,4.7,45.0
01255,25380.0,8.9,38.0
01257,32840.0,6.3,40.9
01258,30570.0,3.2,44.1
01259,28540.0,2.8,39.4
01260,30760.0,3.9,36.4
01261,31060.0,4.6,44.6
01262,26400.0,10.0,41.0
01263,29700.0,6.2,45.0
01264,28800.0,4.9,43.6
01265,23140.0,10.5,42.1
01266,25010.0,9.1,48.7
01267,28010.0,8.6,46.4
01268,28860.0,10.6,44.8
01269,20470.0,15.2,42.2
01272,26870.0,6.0,46.1
01273,26500.0,6.9,40.3
01274,23330.0,16.3,39.6
01275,34890.0,4.5,44.2
01276,31350.0,5.9,40.2
